" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;1950;651"
"2;0;170;170;170;1959;762"
"3;0;173;173;173;1953;864"
"4;0;173;173;173;1956;933"
"5;0;173;173;173;1953;993"
"6;0;173;173;173;1947;1062"
"7;0;173;173;173;1944;1122"
"8;0;173;173;173;1941;1176"
"9;0;173;173;173;1932;1236"
"10;0;173;173;173;1938;1503"
"11;0;173;173;173;1707;1323"
"12;0;173;173;173;1686;1239"
"13;0;173;173;173;1683;1143"
"14;0;173;173;173;1689;1071"
"15;0;173;173;173;1710;1002"
"16;0;173;173;173;1698;945"
"17;0;173;173;173;1719;858"
"18;0;173;173;173;1746;786"
"19;0;173;173;173;1818;723"
"20;0;173;173;173;2082;735"
"21;0;173;173;173;2139;816"
"22;0;173;173;173;2160;891"
"23;0;173;173;173;2178;972"
"24;0;173;173;173;2178;1029"
"25;0;173;173;173;2184;1092"
"26;0;173;173;173;2184;1164"
"27;0;173;173;173;2172;1269"
"28;0;173;173;173;2130;1356"
